FID,COMTY_NAME,CERT,Shape_Leng,Shape_Area,location,cases,case_rate,deaths,death_rate,Date,Shape__Area,Shape__Length
102,CENTRAL,yes,32464.8388493,42653277.9786,CENTRAL,468,1200.25,16,41.03,2020/06/03,5782235.7265625,11949.5418666592
103,BALDWIN HILLS,yes,54062.3538759,72471319.9307,BALDWIN HILLS,172,552.61,11,35.34,2020/06/03,9824086.30078125,19900.4105363918
104,LEIMERT PARK,yes,28521.7793615,37025259.1124,LEIMERT PARK,61,400.39,2,13.13,2020/06/03,5018034.78515625,10505.4535950099
105,VERNON CENTRAL, ,40253.5070928,63745613.7719,VERNON CENTRAL,674,1296.2,13,25,2020/06/03,8638355.71484375,14821.3946244036
106,WEST VERNON, ,51127.2388366,70717942.6642,WEST VERNON,514,958.17,16,29.83,2020/06/03,9583048.4140625,18815.4345317636
107,SOUTH PARK, ,27812.8824739,40272283.545,SOUTH PARK,425,1119.57,8,21.07,2020/06/03,5457278.69921875,10241.8136399657
108,VENICE,yes,42487.4367832,77365656.5986,VENICE,69,203.63,2,5.9,2020/06/03,10482155.6953125,15635.067337808
109,DEL REY,yes,44901.1444683,65056174.1909,DEL REY,82,273.92,3,10.02,2020/06/03,8813664.37109375,16524.7246286933
110,VERMONT SQUARE, ,14247.9891508,12464816.7283,VERMONT SQUARE,86,1123.16,2,26.12,2020/06/03,1689092.83203125,5243.49945985987
111,HYDE PARK, ,38453.657366,58282033.6572,HYDE PARK,163,571.11,3,10.51,2020/06/03,7894674.46875,14157.244607959
112,HYDE PARK, ,10307.121585,1920946.17371,HYDE PARK,163,571.11,3,10.51,2020/06/03,260213.43359375,3793.9402438639
113,PLAYA VISTA, ,38808.2010587,38198628.6997,PLAYA VISTA,29,264.91,0,0,2020/06/03,5173797.765625,14278.8859334631
114,FLORENCE-FIRESTONE, ,34531.8735943,70624286.1531,FLORENCE-FIRESTONE,449,946.36,10,21.08,2020/06/03,9564578.30078125,12714.6391308427
115,HARVARD PARK, ,34413.7998157,62620642.102,HARVARD PARK,338,891,4,10.54,2020/06/03,8482086.625,12654.3784892757
116,WESTCHESTER, ,115126.335809,359230016.259,WESTCHESTER,99,191.85,10,19.38,2020/06/03,48624700.0195313,42351.3298435082
117,MARINA PENINSULA, ,17719.2044901,10162597.2237,MARINA PENINSULA,14,321.1,0,0,2020/06/03,1376244.48828125,6523.62155023338
118,PLAYA DEL REY, ,28610.7023918,18978789.3932,PLAYA DEL REY,3,93.87,0,0,2020/06/03,2569350.80859375,10526.1681969565
119,VERMONT KNOLLS, ,26864.296763,31417368.125,VERMONT KNOLLS,174,1011.63,2,11.63,2020/06/03,4254199.01953125,9881.32037643
